Symbol,Name,Market Cap,Country,Sector,Industry
ADUS,Addus HomeCare Corporation Common Stock,1400456398.00,United States,Health Care,Medical/Nursing Services
ADV,Advantage Solutions Inc. Class A Common Stock,3608038115.00,United States,Technology,Advertising
ADVM,Adverum Biotechnologies Inc. Common Stock,374110848.00,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADXN,Addex Therapeutics Ltd American Depositary Shares,73526672.00,Switzerland,Health Care,Major Pharmaceuticals
ADXS,Advaxis Inc. Common Stock,71217206.00,United States,Health Care,Major Pharmaceuticals
AEAC,Authentic Equity Acquisition Corp. Class A ordinary share,291000000.00,United States,Finance,Business Services
AEHL,Antelope Enterprise Holdings Limited Common Stock (0.024 par),16924985.00,China,Capital Goods,Building Products
AEHR,Aehr Test Systems Common Stock,61118121.00,United States,Capital Goods,Electrical Products
AEI,Alset EHome International Inc. Common Stock,163672519.00,United States,Finance,Real Estate
AEIS,Advanced Energy Industries Inc. Common Stock,4284484842.00,United States,Capital Goods,Industrial Machinery/Components
AEMD,Aethlon Medical Inc. Common Stock,72484618.00,United States,Capital Goods,Biotechnology: Laboratory Analytical Instruments
AEP,American Electric Power Company Inc. Common Stock,42363841408.00,United States,Public Utilities,Electric Utilities: Central
AERI,Aerie Pharmaceuticals Inc. Common Stock,880655967.00,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AESE,Allied Esports Entertainment Inc. Common Stock,91586435.00,United States,Consumer Services,Services-Misc. Amusement & Recreation
AEY,ADDvantage Technologies Group Inc. Common Stock,30164494.00,United States,Capital Goods,Recreational Products/Toys
AEYE,AudioEye Inc. Common Stock,193325331.00,United States,Technology,EDP Services
AEZS,Aeterna Zentaris Inc. Common Stock,109220137.00,Canada,,
AFBI,Affinity Bancshares Inc. Common Stock (MD),87969715.00,United States,Finance,Major Banks
AFCG,AFC Gamma Inc. Common Stock,272416953.00,United States,Consumer Services,Real Estate Investment Trusts
AFIB,Acutus Medical Inc. Common Stock,496670847.00,United States,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
